"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Bauxita";"85322200";"Condensador fixo eletrolítico, de alumínio";46313240;798359402;"UNID.";"NUMERO (UNIDADE)";"85322200_2018";0,1324
"2018";"Bentonita";"25081000";"Bentonita";21589755;96426879;"KGL";"QUILOGRAMA LIQUIDO";"25081000_2018";0,4968
"2018";"Bentonita";"38029020";"Bentonita (matéria mineral natural ativada)";6253608;90596245;"KGL";"QUILOGRAMA LIQUIDO";"38029020_2018";1,6454
"2018";"Berílio";"81121900";"Obras de berílio";27747;5;"KGL";"QUILOGRAMA LIQUIDO";"81121900_2018";5549,4
"2018";"Bismuto";"81060010";"Bismuto em bruto";1645134;145300;"KGL";"QUILOGRAMA LIQUIDO";"81060010_2018";11,6615
"2018";"Bismuto";"81060090";"Obras de bismuto, desperdícios e resíduos, de bismuto";423864;7237;"KGL";"QUILOGRAMA LIQUIDO";"81060090_2018";82,4778
"2018";"Bismuto";"28274911";"Oxicloretos de bismuto";70753;1639;"KGL";"QUILOGRAMA LIQUIDO";"28274911_2018";41,4075
"2018";"Bismuto";"28273970";"Cloreto de bismuto";6087;2;"KGL";"QUILOGRAMA LIQUIDO";"28273970_2018";2761,5
"2018";"Bismuto";"28419083";"Aluminato de bismuto";43;1;"KGL";"QUILOGRAMA LIQUIDO";"28419083_2018";43
"2018";"Boro";"25280000";"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco";35653243;149013010;"KGL";"QUILOGRAMA LIQUIDO";"25280000_2018";0,2625
"2018";"Boro";"28100010";"Ácido ortobórico";24981074;45258262;"KGL";"QUILOGRAMA LIQUIDO";"28100010_2018";0,5798
"2018";"Boro";"28401900";"Outros tetraboratos dissódicos (borax refinado)";11912316;21979814;"KGL";"QUILOGRAMA LIQUIDO";"28401900_2018";0,5802
"2018";"Boro";"28402000";"Outros boratos";11511692;5490921;"KGL";"QUILOGRAMA LIQUIDO";"28402000_2018";2,8533
"2018";"Boro";"28500010";"Nitreto de boro";1437115;92734814;"QUILT";"QUILATE";"28500010_2018";0,4526
"2018";"Boro";"28499010";"Carbonetos de constituição química definida ou não, de boro";1187036;87347;"KGL";"QUILOGRAMA LIQUIDO";"28499010_2018";24,8434
"2018";"Boro";"28401100";"Tetraborato dissódico (borax refinado) anidro";741169;858564;"KGL";"QUILOGRAMA LIQUIDO";"28401100_2018";1,03
"2018";"Boro";"28100090";"Óxidos de boro e outros ácidos bóricos";413392;94014;"KGL";"QUILOGRAMA LIQUIDO";"28100090_2018";20,3333
"2018";"Boro";"28403000";"Peroxoboratos (perboratos)";186161;167446;"KGL";"QUILOGRAMA LIQUIDO";"28403000_2018";3,5304
"2018";"Bromo";"28275900";"Outros brometos e oxibrometos";3773172;2269451;"KGL";"QUILOGRAMA LIQUIDO";"28275900_2018";51
"2018";"Bromo";"28275100";"Brometos de sódio ou de potássio";1068940;304800;"KGL";"QUILOGRAMA LIQUIDO";"28275100_2018";47,5
"2018";"Bromo";"28299019";"Outros bromatos";5696;97;"KGL";"QUILOGRAMA LIQUIDO";"28299019_2018";34,576
"2018";"Bromo";"28299029";"Outros perbromatos";4083;173;"KGL";"QUILOGRAMA LIQUIDO";"28299029_2018";23,9442
"2018";"Cádmio";"28259010";"Óxido de cádmio";281794;39671;"KGL";"QUILOGRAMA LIQUIDO";"28259010_2018";7,63
"2018";"Cádmio";"32064910";"Pigmentos preparados à base de compostos de cádmio";151335;33351;"KGL";"QUILOGRAMA LIQUIDO";"32064910_2018";23,1563
"2018";"Cádmio";"81072010";"Cádmio em formas brutas";23524;5021;"KGL";"QUILOGRAMA LIQUIDO";"81072010_2018";3,7028
"2018";"Cádmio";"28273991";"Cloreto de cádmio";1757;26;"KGL";"QUILOGRAMA LIQUIDO";"28273991_2018";75,38
"2018";"Cádmio";"81079000";"Obras de cádmio";447;0;"KGL";"QUILOGRAMA LIQUIDO";"81079000_2018";NA
"2018";"Cádmio";"81072020";"Cádmio em pós";241;0;"KGL";"QUILOGRAMA LIQUIDO";"81072020_2018";NA
