"CO_ANO";"SUBSTANCIA";"CO_NCM";"NO_NCM_Subitem_POR";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"id_NCM_ano";"VALOR_(usd/un)"
"2018";"Caulim";"69111010";"Conjunto (jogo ou aparelho) para jantar, café ou chá, apresentado em embalagem comum, de porcelana";434525;98,037;"TML";"TONELADA METRICA LIQUIDA";"69111010_2018";4299,2
"2018";"Caulim";"25070090";"Outras argilas caulínicas, mesmo calcinadas";388077;1516,499;"TML";"TONELADA METRICA LIQUIDA";"25070090_2018";196,6
"2018";"Caulim";"69101000";"Pias, lavatórios, etc, para sanitários, de porcelana";337866;18000;"UNID.";"NUMERO (UNIDADE)";"69101000_2018";24,8019
"2018";"Caulim";"69131000";"Estatuetas/outros objetos ornamentais de porcelana";55017;1,514;"TML";"TONELADA METRICA LIQUIDA";"69131000_2018";11125
"2018";"Caulim";"69141000";"Outras obras de porcelana";34316;2,207;"TML";"TONELADA METRICA LIQUIDA";"69141000_2018";18711,5
"2018";"Caulim";"69119000";"Outros artigos de uso doméstico, higiene, etc, de porcelana";5274;0,35;"TML";"TONELADA METRICA LIQUIDA";"69119000_2018";15387,75
"2018";"Caulim";"48109990";"Outros papéis/cartões, revestidos de caulim, em rolos/folhas";1161;0,57;"TML";"TONELADA METRICA LIQUIDA";"48109990_2018";8333,3
"2018";"Chumbo";"85071090";"Outros acumuladores elétricos de chumbo";106456575;2213431;"UNID.";"NUMERO (UNIDADE)";"85071090_2018";54,7433
"2018";"Chumbo";"78011011";"Chumbo refinado, eletrolítico, em lingotes";33705932;14159;"TML";"TONELADA METRICA LIQUIDA";"78011011_2018";2422,8751
"2018";"Chumbo";"26070000";"Minérios de chumbo e seus concentrados";16911907;16815,003;"TML";"TONELADA METRICA LIQUIDA";"26070000_2018";1048,9
"2018";"Chumbo";"85072010";"Outros acumuladores elétricos, de chumbo, peso <= 1000 kg";5479550;45240;"UNID.";"NUMERO (UNIDADE)";"85072010_2018";173
"2018";"Chumbo";"78019900";"Outras formas brutas de chumbo";1546371;2470674;"TML";"TONELADA METRICA LIQUIDA";"78019900_2018";2297,2973
"2018";"Chumbo";"28241000";"Monóxido de chumbo (litargirio, massicote)";1490650;460;"TML";"TONELADA METRICA LIQUIDA";"28241000_2018";3216,5
"2018";"Chumbo";"85072090";"Outros acumuladores elétricos, de chumbo";1445577;4605;"UNID.";"NUMERO (UNIDADE)";"85072090_2018";526
"2018";"Chumbo";"78060090";"Outras obras de chumbo";1223520;199,574;"TML";"TONELADA METRICA LIQUIDA";"78060090_2018";15000
"2018";"Chumbo";"85071010";"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V";498658;30661;"UNID.";"NUMERO (UNIDADE)";"85071010_2018";41
"2018";"Chumbo";"78060010";"Barras, perfis e fios de chumbo";347748;32,535;"TML";"TONELADA METRICA LIQUIDA";"78060010_2018";10367,5
"2018";"Cobalto";"28220090";"Outros óxidos e hidróxidos de cobalto, inclusive os comerciais";1884189;30,405;"TML";"TONELADA METRICA LIQUIDA";"28220090_2018";49109,6
"2018";"Cobalto";"28220010";"Tetraóxido de tricobalto (óxido salino de cobalto)";634228;10,85;"TML";"TONELADA METRICA LIQUIDA";"28220010_2018";63445
"2018";"Cobalto";"26050000";"Minérios de cobalto e seus concentrados";255446;148,137;"TML";"TONELADA METRICA LIQUIDA";"26050000_2018";2131,95
"2018";"Cobalto";"81059010";"Chapas, folhas, tiras, fios, hastes, pastilhas e plaquetas, de cobalto";98411;0,106;"TML";"TONELADA METRICA LIQUIDA";"81059010_2018";1635166,7
"2018";"Cobalto";"81052010";"Cobalto em formas brutas";61893;4,679;"TML";"TONELADA METRICA LIQUIDA";"81052010_2018";13227,8
"2018";"Cobalto";"81059090";"Outras obras de cobalto";31804;0,001;"TML";"TONELADA METRICA LIQUIDA";"81059090_2018";582000
"2018";"Cobalto";"28273997";"Cloreto de cobalto";6686;0,251;"TML";"TONELADA METRICA LIQUIDA";"28273997_2018";149824
"2018";"Cobre";"26030090";"Outros minérios de cobre e seus concentrados";2060909053;935307,64;"TML";"TONELADA METRICA LIQUIDA";"26030090_2018";2007,65
"2018";"Cobre";"26030010";"Sulfetos de minérios de cobre e seus concentrados";579345411;311239,519;"TML";"TONELADA METRICA LIQUIDA";"26030010_2018";1830,05
"2018";"Cobre";"74031100";"Cátodos e seus elementos de cobre refinado, em formas brutas";288374612;43951;"TML";"TONELADA METRICA LIQUIDA";"74031100_2018";6460,7984
"2018";"Cobre";"74081100";"Fios de cobre refinado, com a maior dimensão da seção transversal superior a 6 mm";134475820;20204,832;"TML";"TONELADA METRICA LIQUIDA";"74081100_2018";7014,5
"2018";"Cobre";"74081900";"Outros fios de cobre refinado";119052452;14316,659;"TML";"TONELADA METRICA LIQUIDA";"74081900_2018";7336
"2018";"Cobre";"74111010";"Tubos de cobre refinado, não aletados nem ranhurados";66795880;8679,469;"TML";"TONELADA METRICA LIQUIDA";"74111010_2018";7823,7
"2018";"Cobre";"74040000";"Desperdícios e resíduos, de cobre";58779410;14814,087;"TML";"TONELADA METRICA LIQUIDA";"74040000_2018";4476,9
