"CO_ANO";"SUBSTANCIA";"CO_NCM";"EX_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Bauxita";"28181090";77532875;162893,48;"TML";"TONELADA METRICA LIQUIDA";1,911;"Outros corindos artificiais, de constituição química definida ou não"
"2018";"Bauxita";"85322200";74161497;146976372;"UNID.";"NUMERO (UNIDADE)";1,828;"Condensador fixo eletrolítico, de alumínio"
"2018";"Bauxita";"76151000";55664812;7933,206;"TML";"TONELADA METRICA LIQUIDA";1,372;"Artefatos de uso doméstico e suas partes; esponjas, esfregões, luvas e artefatos semelhantes, para limpeza, polimento ou usos semelhantes, de alumínio"
"2018";"Bentonita";"25081000";6360815;11801711;"KGL";"QUILOGRAMA LIQUIDO";97,69;"Bentonita"
"2018";"Bentonita";"38029020";150420;211305;"KGL";"QUILOGRAMA LIQUIDO";2,31;"Bentonita (matéria mineral natural ativada)"
"2018";"Bismuto";"81060090";24685;195;"KGL";"QUILOGRAMA LIQUIDO";74,543;"Obras de bismuto, desperdícios e resíduos, de bismuto"
"2018";"Bismuto";"28274911";8430;80;"KGL";"QUILOGRAMA LIQUIDO";25,457;"Oxicloretos de bismuto"
"2018";"Boro";"28402000";301785;29293;"KGL";"QUILOGRAMA LIQUIDO";62,757;"Outros boratos"
"2018";"Boro";"28401900";66848;58746;"KGL";"QUILOGRAMA LIQUIDO";13,901;"Outros tetraboratos dissódicos (borax refinado)"
"2018";"Boro";"25280000";56822;74325;"KGL";"QUILOGRAMA LIQUIDO";11,816;"Boratos naturais e seus concentrados (calcinados ou não), exceto boratos extraídos de salmouras naturais; ácido bórico natural com um teor máximo de 85 % de H3BO3, em produto seco"
"2018";"Boro";"28100010";18703;15850;"KGL";"QUILOGRAMA LIQUIDO";3,889;"Ácido ortobórico"
"2018";"Boro";"28500010";15841;150;"QUILT";"QUILATE";3,294;"Nitreto de boro"
"2018";"Boro";"28100090";13078;14250;"KGL";"QUILOGRAMA LIQUIDO";2,72;"Óxidos de boro e outros ácidos bóricos"
"2018";"Boro";"28499010";5638;500;"KGL";"QUILOGRAMA LIQUIDO";1,172;"Carbonetos de constituição química definida ou não, de boro"
"2018";"Boro";"28403000";2130;750;"KGL";"QUILOGRAMA LIQUIDO";0,443;"Peroxoboratos (perboratos)"
"2018";"Boro";"28401100";35;1;"KGL";"QUILOGRAMA LIQUIDO";0,007;"Tetraborato dissódico (borax refinado) anidro"
"2018";"Bromo";"28275900";389082;246001;"KGL";"QUILOGRAMA LIQUIDO";57,075;"Outros brometos e oxibrometos"
"2018";"Bromo";"28275100";292618;889250;"KGL";"QUILOGRAMA LIQUIDO";42,925;"Brometos de sódio ou de potássio"
"2018";"Cádmio";"32064910";2647401;159873;"KGL";"QUILOGRAMA LIQUIDO";92,393;"Pigmentos preparados à base de compostos de cádmio"
"2018";"Cádmio";"81072010";217957;305070;"KGL";"QUILOGRAMA LIQUIDO";7,607;"Cádmio em formas brutas"
"2018";"Calcário";"28352600";15258843;25569,982;"TML";"TONELADA METRICA LIQUIDA";27,354;"Outros fosfatos de cálcio"
"2018";"Calcário";"28299032";7284493;459,751;"TML";"TONELADA METRICA LIQUIDA";13,059;"Iodatos de cálcio"
"2018";"Calcário";"25232910";7244300;97757,632;"TML";"TONELADA METRICA LIQUIDA";12,987;"Cimentos 'portland', comuns"
