"SUBSTANCIA";"CO_ANO";"EX_FOB";"IMP_FOB";"SALDO"
"Minerais Abrasivos - Outros";"2017";3949;89658;-85709
"Minerais Abrasivos - Outros";"2018";4645;119589;-114944
"Minerais Metálicos - Diversos";"2016";1460320474;2146524561;-686204087
"Minerais Metálicos - Diversos";"2017";1696366649;2396451450;-700084801
"Minerais Metálicos - Diversos";"2018";1608109458;2559746236;-951636778
"Minerais Metálicos - Outros";"2016";500730;141008;359722
"Minerais Metálicos - Outros";"2017";430773;165048;265725
"Minerais Metálicos - Outros";"2018";264669;151073;113596
"Minerais Refratários - Diversos";"2016";100378069;53558379;46819690
"Minerais Refratários - Diversos";"2017";100950829;58211165;42739664
"Minerais Refratários - Diversos";"2018";105406202;77346337;28059865
"Minerais Refratários - Outros";"2016";58648;5603806;-5545158
"Minerais Refratários - Outros";"2017";78946;3997867;-3918921
"Minerais Refratários - Outros";"2018";24224;3455582;-3431358
"Molibdênio";"2016";5606213;61611648;-56005435
"Molibdênio";"2017";2908108;80240467;-77332359
"Molibdênio";"2018";4549084;132232050;-127682966
"Nióbio";"2016";1331514780;643359;1330871421
"Nióbio";"2017";1608188082;NA;NA
"Nióbio";"2018";2011633328;2197;2011631131
"Níquel";"2016";622602955;137332531;485270424
"Níquel";"2017";596309255;139899867;456409388
"Níquel";"2018";694138408;186755778;507382630
"Ouro";"2016";2928829524;3704159;2925125365
"Ouro";"2017";2826045168;4241994;2821803174
"Ouro";"2018";2833925143;5602989;2828322154
"Paládio";"2016";5548381;122453553;-116905172
"Paládio";"2017";2008733;170473856;-168465123
"Paládio";"2018";1767654;272428657;-270661003
"Perlita";"2016";4825;2030685;-2025860
"Perlita";"2017";5608;1961310;-1955702
"Platina";"2016";18793233;21793818;-3000585
"Platina";"2017";18898650;39632741;-20734091
"Platina";"2018";45556316;59757451;-14201135
"Platina (Grupo) - Diversos";"2018";234298;35005;199293
"Potássio";"2016";44224519;2104915598;-2060691079
"Potássio";"2017";37151912;2529475070;-2492323158
"Potássio";"2018";32598587;3209566442;-3176967855
"Prata";"2016";61024945;165566474;-104541529
"Prata";"2017";61500960;140251737;-78750777
"Prata";"2018";40687800;129751580;-89063780
"Quartzo (Cristal)";"2016";12078020;103030614;-90952594
"Quartzo (Cristal)";"2017";9933913;137172176;-127238263
"Quartzo (Cristal)";"2018";11723346;141715455;-129992109
"Rochas Betuminosas";"2016";11915593;7050628;4864965
"Rochas Betuminosas";"2017";12330416;8406015;3924401
"Rochas Betuminosas";"2018";11938628;8353470;3585158
"Rochas Britadas e Cascalho";"2016";1831621;3383186;-1551565
"Rochas Britadas e Cascalho";"2017";1343297;3530318;-2187021
"Rochas Britadas e Cascalho";"2018";1557309;2929396;-1372087
"Rochas e Minerais Industriais - Diversos";"2016";42914645;176863635;-133948990
"Rochas e Minerais Industriais - Diversos";"2017";55176790;229368862;-174192072
"Rochas e Minerais Industriais - Diversos";"2018";52443251;223255487;-170812236
"Rochas e Minerais Industriais - Outros";"2016";1398554;8402020;-7003466
"Rochas e Minerais Industriais - Outros";"2017";3338173;9316823;-5978650
"Rochas e Minerais Industriais - Outros";"2018";3063316;10950787;-7887471
"Rochas Ornamentais";"2016";1138338381;31903296;1106435085
"Rochas Ornamentais";"2017";1107448553;35941107;1071507446
"Rochas Ornamentais";"2018";991620573;30121538;961499035
"Ródio";"2017";3804;20022251;-20018447
"Rutênio";"2018";33411;905392;-871981
"Sal";"2016";56725409;840393607;-783668198
"Sal";"2017";68976427;997770637;-928794210
"Sal";"2018";51769246;1192624578;-1140855332
"Selênio";"2016";102190;1002417;-900227
"Selênio";"2017";146615;1620410;-1473795
"Selênio";"2018";165447;2141719;-1976272
"Silício";"2016";896269489;670930251;225339238
"Silício";"2017";862587092;771725954;90861138
"Silício";"2018";1061641211;880537139;181104072
"Talco";"2016";6046879;3691191;2355688
"Talco";"2017";6612020;6227746;384274
"Talco";"2018";5955713;8520360;-2564647
"Tântalo";"2016";18069193;7183199;10885994
"Tântalo";"2017";28421930;7644397;20777533
"Tântalo";"2018";12264880;7998409;4266471
"Terras Raras";"2016";2711973;5206390;-2494417
"Terras Raras";"2017";1776936;4074062;-2297126
"Terras Raras";"2018";1647060;11344159;-9697099
"Titânio";"2016";24128458;301897676;-277769218
"Titânio";"2017";30673251;421018617;-390345366
"Titânio";"2018";38462680;474608581;-436145901
"Tungstênio";"2016";7235529;72711525;-65475996
"Tungstênio";"2017";10959731;78102105;-67142374
"Tungstênio";"2018";11109460;73255446;-62145986
"Turfa";"2016";549812;4941288;-4391476
"Turfa";"2017";664920;5946012;-5281092
"Turfa";"2018";564984;6540076;-5975092
"Vanádio";"2016";55189193;11802732;43386461
"Vanádio";"2017";135194301;17746824;117447477
"Vanádio";"2018";357450936;83846579;273604357
"Vermiculita";"2016";15584247;24216201;-8631954
"Vermiculita";"2017";14136921;26592997;-12456076
"Vermiculita";"2018";14408065;26578035;-12169970
"Zinco";"2016";160635086;272281408;-111646322
"Zinco";"2017";226147501;381703364;-155555863
"Zinco";"2018";256783232;482145422;-225362190
"Zircônio";"2016";2680339;23570169;-20889830
"Zircônio";"2017";2214118;26447952;-24233834
"Zircônio";"2018";1814492;30892979;-29078487
