"CO_ANO";"SUBSTANCIA";"CO_NCM";"IMP_FOB.x";"QUANTIDADE";"SG_UNID";"NO_UNID";"percentual_Produto_NCM";"NO_NCM_Subitem_POR"
"2018";"Calcário";"28352500";39511921;94307,849;"TML";"TONELADA METRICA LIQUIDA";17,903;"Hidrogeno-ortofosfato de cálcio (fosfato dicálcico)"
"2018";"Calcário";"68101900";30775447;44734,884;"TML";"TONELADA METRICA LIQUIDA";13,945;"Outras telhas, ladrilhos, semelhantes, de cimento, de concreto ou de pedra artificial, mesmo armadas"
"2018";"Calcário";"28352600";29757595;64555,457;"TML";"TONELADA METRICA LIQUIDA";13,483;"Outros fosfatos de cálcio"
"2018";"Calcário";"25231000";20323422;487150,34;"TML";"TONELADA METRICA LIQUIDA";9,209;"Cimentos não pulverizados, denominados clinkers"
"2018";"Calcário";"25221000";14603161;88979,38;"TML";"TONELADA METRICA LIQUIDA";6,617;"Cal viva"
"2018";"Calcário";"68109900";13697613;19343,314;"TML";"TONELADA METRICA LIQUIDA";6,206;"Outras obras de cimento, de concreto ou de pedra artificial, mesmo armadas"
"2018";"Calcário";"25232100";12892107;128773,321;"TML";"TONELADA METRICA LIQUIDA";5,842;"Cimentos Portland brancos, mesmo corados artificialmente"
"2018";"Calcário";"38249971";8585907;36328,918;"TML";"TONELADA METRICA LIQUIDA";3,89;"Cal sodada; carbonato de cálcio hidrófugo"
"2018";"Calcário";"28365000";7971694;24542,277;"TML";"TONELADA METRICA LIQUIDA";3,612;"Carbonato de cálcio"
"2018";"Calcário";"28281000";6928235;5916,3;"TML";"TONELADA METRICA LIQUIDA";3,139;"Hipoclorito de cálcio comercial e outros hipocloritos de cálcio"
"2018";"Carvão Mineral";"27011200";2842779158;19797242222;"KGL";"QUILOGRAMA LIQUIDO";66,247;"Hulha betuminosa, não aglomerada"
"2018";"Carvão Mineral";"27040012";556532424;1656607396;"KGL";"QUILOGRAMA LIQUIDO";12,969;"Coques com granulometria inferior a 80 mm"
"2018";"Carvão Mineral";"27011900";346639543;2271008308;"KGL";"QUILOGRAMA LIQUIDO";8,078;"Outras hulhas, mesmo em pó, mas não aglomeradas"
"2018";"Carvão Mineral";"27011100";192921526;1645148922;"KGL";"QUILOGRAMA LIQUIDO";4,496;"Hulha antracita, não aglomerada"
"2018";"Carvão Mineral";"85451100";147855986;16190339;"KGL";"QUILOGRAMA LIQUIDO";3,446;"Eletrodos de carvão, dos tipos utilizados em fornos"
"2018";"Carvão Mineral";"27040011";65748619;178423734;"KGL";"QUILOGRAMA LIQUIDO";1,532;"Coques com granulometria igual ou superior a 80 mm"
"2018";"Carvão Mineral";"27079990";44429416;54885858;"KGL";"QUILOGRAMA LIQUIDO";1,035;"Outros óleos e produtos da destilação do alcatrão de hulha"
"2018";"Carvão Mineral";"27081000";34746620;45264107;"KGL";"QUILOGRAMA LIQUIDO";0,81;"Breu obtido a partir do alcatrão de hulha ou de outros alcatrões minerais"
"2018";"Carvão Mineral";"27075000";17468598;23771762;"KGL";"QUILOGRAMA LIQUIDO";0,407;"Outras misturas de hidrocarbonetos aromáticos que destilem, incluindo as perdas, uma fração igual ou superior a 65 %, em volume, a 250 °C, segundo o método ASTM D 86"
"2018";"Carvão Mineral";"38021000";16531268;6566841;"KGL";"QUILOGRAMA LIQUIDO";0,385;"Carvões ativados"
"2018";"Caulim";"48109290";48252173;53822,127;"TML";"TONELADA METRICA LIQUIDA";52,173;"Outros papéis e cartões de camadas múltiplas, revestidos de caulim, em rolos ou folhas"
"2018";"Caulim";"69111090";12436574;3795,478;"TML";"TONELADA METRICA LIQUIDA";13,447;"Outros artigos para serviços de mesa/cozinha, de porcelana"
"2018";"Caulim";"69111010";7610696;2619,921;"TML";"TONELADA METRICA LIQUIDA";8,229;"Conjunto (jogo ou aparelho) para jantar, café ou chá, apresentado em embalagem comum, de porcelana"
